id_pelanggan,nama,jenis_kelamin,tanggal_lahir,alamat,kota,telepon,email
1,Customer 1,Lainnya,1981-06-07,Jl. Pelanggan No. 271,Denpasar,82237386857,user1@email.com
2,Customer 2,Perempuan,1948-04-16,Jl. Pelanggan No. 25,Medan,82963288053,user2@email.com
3,Customer 3,Laki-laki,1996-12-07,Jl. Pelanggan No. 256,Jakarta,83469810046,user3@email.com
4,Customer 4,Lainnya,1949-10-08,Jl. Pelanggan No. 150,Denpasar,89596653373,user4@email.com
5,Customer 5,Perempuan,1956-05-15,Jl. Pelanggan No. 293,Denpasar,83869961166,user5@email.com
6,Customer 6,Lainnya,1964-07-15,Jl. Pelanggan No. 35,Jakarta,83019214800,user6@email.com
7,Customer 7,Lainnya,1966-04-29,Jl. Pelanggan No. 192,Yogyakarta,84209700340,user7@email.com
8,Customer 8,Perempuan,1993-08-28,Jl. Pelanggan No. 35,Semarang,88544878538,user8@email.com
9,Customer 9,Laki-laki,1943-01-06,Jl. Pelanggan No. 181,Semarang,88281641403,user9@email.com
10,Customer 10,Lainnya,1952-05-27,Jl. Pelanggan No. 70,Bandung,89347720574,user10@email.com
11,Customer 11,Laki-laki,1959-12-20,Jl. Pelanggan No. 104,Jakarta,84397788197,user11@email.com
12,Customer 12,Laki-laki,1961-06-23,Jl. Pelanggan No. 159,Denpasar,87627266377,user12@email.com
13,Customer 13,Perempuan,1942-06-29,Jl. Pelanggan No. 98,Yogyakarta,84353689019,user13@email.com
14,Customer 14,Lainnya,1962-08-03,Jl. Pelanggan No. 140,Bandung,88728116828,user14@email.com
15,Customer 15,Perempuan,2000-07-12,Jl. Pelanggan No. 205,Makassar,86955593943,user15@email.com
16,Customer 16,Laki-laki,1973-10-07,Jl. Pelanggan No. 255,Semarang,87525240100,user16@email.com
17,Customer 17,Laki-laki,1989-06-23,Jl. Pelanggan No. 218,Bandung,86556684476,user17@email.com
18,Customer 18,Laki-laki,1945-06-13,Jl. Pelanggan No. 168,Yogyakarta,86611356986,user18@email.com
19,Customer 19,Lainnya,1988-11-01,Jl. Pelanggan No. 219,Surabaya,88257484586,user19@email.com
20,Customer 20,Perempuan,1970-06-05,Jl. Pelanggan No. 22,Semarang,87163022531,user20@email.com
21,Customer 21,Lainnya,1993-11-10,Jl. Pelanggan No. 30,Bandung,87039626948,user21@email.com
22,Customer 22,Lainnya,1994-07-07,Jl. Pelanggan No. 82,Jakarta,88650676663,user22@email.com
23,Customer 23,Laki-laki,1948-08-03,Jl. Pelanggan No. 35,Medan,86868336102,user23@email.com
24,Customer 24,Perempuan,2004-08-11,Jl. Pelanggan No. 291,Jakarta,83598862507,user24@email.com
25,Customer 25,Lainnya,1970-08-13,Jl. Pelanggan No. 190,Semarang,89920154998,user25@email.com
26,Customer 26,Laki-laki,1976-01-11,Jl. Pelanggan No. 188,Denpasar,82196963451,user26@email.com
27,Customer 27,Laki-laki,1941-10-06,Jl. Pelanggan No. 96,Makassar,87518666304,user27@email.com
28,Customer 28,Lainnya,1948-01-05,Jl. Pelanggan No. 135,Yogyakarta,88318786687,user28@email.com
29,Customer 29,Laki-laki,1981-08-21,Jl. Pelanggan No. 147,Makassar,81859759428,user29@email.com
30,Customer 30,Laki-laki,1998-01-13,Jl. Pelanggan No. 38,Makassar,88358867651,user30@email.com
31,Customer 31,Laki-laki,1995-02-26,Jl. Pelanggan No. 164,Semarang,84047453184,user31@email.com
32,Customer 32,Lainnya,1976-11-22,Jl. Pelanggan No. 149,Yogyakarta,84656572173,user32@email.com
33,Customer 33,Lainnya,1988-04-14,Jl. Pelanggan No. 90,Semarang,83185089287,user33@email.com
34,Customer 34,Laki-laki,1953-09-04,Jl. Pelanggan No. 72,Medan,88689593739,user34@email.com
35,Customer 35,Laki-laki,1964-07-23,Jl. Pelanggan No. 284,Semarang,84797809576,user35@email.com
36,Customer 36,Laki-laki,1961-01-17,Jl. Pelanggan No. 204,Makassar,87552812957,user36@email.com
37,Customer 37,Perempuan,1996-01-11,Jl. Pelanggan No. 295,Bandung,85613503623,user37@email.com
38,Customer 38,Perempuan,1986-04-13,Jl. Pelanggan No. 265,Semarang,83524521602,user38@email.com
39,Customer 39,Laki-laki,1969-06-09,Jl. Pelanggan No. 258,Jakarta,84570796341,user39@email.com
40,Customer 40,Lainnya,1950-05-31,Jl. Pelanggan No. 156,Surabaya,85990610098,user40@email.com
41,Customer 41,Lainnya,1955-05-06,Jl. Pelanggan No. 178,Yogyakarta,84633257620,user41@email.com
42,Customer 42,Perempuan,1953-05-11,Jl. Pelanggan No. 283,Yogyakarta,83291270703,user42@email.com
43,Customer 43,Lainnya,1983-08-14,Jl. Pelanggan No. 87,Surabaya,84709911999,user43@email.com
44,Customer 44,Laki-laki,1943-02-03,Jl. Pelanggan No. 296,Yogyakarta,83796581976,user44@email.com
45,Customer 45,Lainnya,1968-05-07,Jl. Pelanggan No. 16,Makassar,87638204740,user45@email.com
46,Customer 46,Lainnya,2005-02-05,Jl. Pelanggan No. 155,Makassar,87039121410,user46@email.com
47,Customer 47,Perempuan,1944-12-18,Jl. Pelanggan No. 31,Surabaya,87183058541,user47@email.com
48,Customer 48,Perempuan,1971-08-09,Jl. Pelanggan No. 105,Semarang,83605585995,user48@email.com
49,Customer 49,Perempuan,1998-08-16,Jl. Pelanggan No. 164,Semarang,89484167278,user49@email.com
50,Customer 50,Laki-laki,1991-10-06,Jl. Pelanggan No. 190,Bandung,82370592316,user50@email.com
51,Customer 51,Perempuan,1948-05-03,Jl. Pelanggan No. 137,Makassar,82064803502,user51@email.com
52,Customer 52,Laki-laki,1943-06-11,Jl. Pelanggan No. 149,Denpasar,82795875043,user52@email.com
53,Customer 53,Laki-laki,1995-05-11,Jl. Pelanggan No. 168,Semarang,85979337757,user53@email.com
54,Customer 54,Lainnya,1971-10-07,Jl. Pelanggan No. 256,Yogyakarta,83136189070,user54@email.com
55,Customer 55,Laki-laki,2004-04-27,Jl. Pelanggan No. 202,Makassar,85151887478,user55@email.com
56,Customer 56,Laki-laki,1979-09-12,Jl. Pelanggan No. 181,Jakarta,85512036684,user56@email.com
57,Customer 57,Perempuan,1980-08-29,Jl. Pelanggan No. 241,Yogyakarta,83305069227,user57@email.com
58,Customer 58,Laki-laki,1969-04-28,Jl. Pelanggan No. 69,Yogyakarta,88419590655,user58@email.com
